POSPhrase ^ Count ^ ExampleFWID
[NN]  ^ 2968 ^ 14
[IN] [NNP] [CC] [NNP]  ^ 3 ^ 9747
[DT] [RBS] [JJ] [NN]  ^ 3 ^ 10017
[NN] [IN] [NN] [NN] [,]  ^ 3 ^ 668
[DT] [NNP] [,] [CC] [JJ]  ^ 3 ^ 857
[TO] [JJ] [NN] [IN] [DT]  ^ 3 ^ 886
[VB] [IN] [DT] [NNP] [,]  ^ 3 ^ 906
[,] [CC] [,] [VBx] [,]  ^ 3 ^ 940
[CC] [DT] [NN] [IN] [DT]  ^ 3 ^ 1311
[CC] [NN] [VB] [,] [NN]  ^ 3 ^ 1999
[CC] [CD] [NN] [:] [CC]  ^ 3 ^ 3508
[CC] [CD] [NN] [,] [CC]  ^ 3 ^ 3628
[,] [NN] [,] [CC] [NN]  ^ 3 ^ 4462
[IN] [DT] [NNP] [:] [CC]  ^ 3 ^ 5087
[IN] [NN] [CC] [NN] [CC]  ^ 3 ^ 6374
[,] [IN] [NN] [NN] [,]  ^ 3 ^ 6923
[CD] [:] [JJ] [VB] [DT]  ^ 3 ^ 7224
[VB] [TO] [,] [VB] [NN]  ^ 3 ^ 7546
[NNP] [NNP] [''] [VBx] [NN]  ^ 3 ^ 8805
[,] [CC] [TO] [NN] [NN]  ^ 3 ^ 9353
[CC] [NN] [NN] [IN] [NN]  ^ 3 ^ 11448
[IN] [NN] [NN] [,] [CC] [JJ]  ^ 3 ^ 555
[IN] [DT] [NNP] [IN] [NN] [NN]  ^ 3 ^ 642
[DT] [NNP] [IN] [NN] [NN] [,]  ^ 3 ^ 661
[:] [JJ] [VB] [DT] [NN] [IN]  ^ 3 ^ 1037
[VB] [NN] [CD] [:] [CC] [DT]  ^ 3 ^ 1905
[NN] [VB] [VB] [TO] [VB] [,]  ^ 3 ^ 2913
[NNP] [,] [NNP] [,] [CC] [NNP]  ^ 3 ^ 3905
[VB] [NN] [NN] [,] [CC] [VBx]  ^ 3 ^ 7855
[CD] [:] [CC] [NN] [VB] [VBx]  ^ 3 ^ 10389
[NN] [CD] [:] [CC] [NN] [NN]  ^ 3 ^ 11410
[IN] [DT] [NN] [IN] [DT] [NN] [TO]  ^ 3 ^ 352
[JJ] [NN] [NN] [VB] [IN] [DT] [NNP]  ^ 3 ^ 674
[DT] [NN] [IN] [DT] [NN] [,] [CC]  ^ 3 ^ 724
[NN] [NN] [VB] [IN] [DT] [NNP] [,]  ^ 3 ^ 904
[CD] [:] [CC] [DT] [NN] [NN] [VB]  ^ 3 ^ 2082
[CD] [:] [CC] [DT] [NN] [VB] [VBx]  ^ 3 ^ 2654
[CD] [CC] [NN] [NN] [,] [CC] [VBx]  ^ 3 ^ 3342
[:] [CC] [NN] [NN] [VB] [NN] [NN]  ^ 3 ^ 6320
[:] [CC] [NN] [VB] [VBx] [NN] [,]  ^ 3 ^ 10360
[IN] [CD] [NN] [JJ] [,] [CC] [DT]  ^ 3 ^ 10449
[,] [VB] [JJ] [,] [CC] [VBx] [,] [CC]  ^ 3 ^ 582
[:] [CC] [NN] [VB] [TO] [VB] [,] [NN]  ^ 3 ^ 2720
[CD] [:] [CC] [NN] [VB] [,] [VB] [EX] [VB]  ^ 3 ^ 54
[NN] [CD] [:] [CC] [NN] [VB] [,] [VB] [DT]  ^ 3 ^ 189
[-LRB-]  ^ 2 ^ 7109
[NN] [CD] [:] [CC] [NN] [VB] [,] [VB] [EX] [VB]  ^ 2 ^ 114
[NN] [CD] [:] [CC] [NN] [VB] [,] [VB] [DT] [NN]  ^ 2 ^ 189
[:] [CC] [NN] [VB] [RB] [CD] [:] [CC] [NN] [VB]  ^ 2 ^ 404
[CD] [CC] [CD] [NN] [,] [CC] [VBx] [NN] [CC] [NN]  ^ 2 ^ 3435
[CC] [CD] [NN] [:] [CC] [NN] [VB] [CD] [:] [CC]  ^ 2 ^ 3508
[CD] [CC] [NN] [NN] [,] [CC] [VBx] [NN] [CC] [NN]  ^ 2 ^ 3590
[JJ] [NN] [NN] [VB] [IN] [DT] [NNP] [CD] [:] [CC]  ^ 2 ^ 6513
[:] [CC] [NN] [VB] [TO] [VB] [,] [IN] [,] [NN]  ^ 2 ^ 8703
[,] [CC] [NN] [NN] [,] [CC] [JJ] [IN] [NN] [VB]  ^ 2 ^ 8889
[:] [CC] [NN] [VB] [RB] [CD] [:] [CC] [NN] [VB] [DT]  ^ 2 ^ 167
[CD] [:] [CC] [NN] [VB] [,] [VB] [DT] [NNP] [VB] [RB]  ^ 2 ^ 248
[IN] [DT] [NNP] [:] [CC] [NN] [VB] [RB] [CD] [:] [CC]  ^ 2 ^ 282
[,] [JJ] [IN] [NN] [,] [CC] [IN] [NN] [,] [CC] [IN]  ^ 2 ^ 5187
[,] [CC] [IN] [JJ] [VB] [NN] [NN] [VB] [IN] [DT] [NNP]  ^ 2 ^ 5199
[CD] [:] [CC] [NN] [VB] [RB] [JJ] [CD] [NN] [:] [CC]  ^ 2 ^ 5590
[IN] [NNP] [:] [CC] [NNP] [VB] [VB] [NN] [NN] [CD] [:]  ^ 2 ^ 6753
[,] [IN] [NN] [NN] [,] [IN] [NN] [NN] [,] [IN] [NN]  ^ 2 ^ 7232
[CD] [NN] [,] [CC] [VBx] [NN] [CC] [NN] [CD] [:] [CC]  ^ 2 ^ 7808
[IN] [DT] [NN] [IN] [DT] [NN] [TO] [VB] [NN] [IN] [DT] [NNP]  ^ 2 ^ 392
[,] [NN] [NN] [VB] [VB] [IN] [DT] [NN] [IN] [NN] [NN] [CD] [:]  ^ 2 ^ 12026
[VB] [VBx] [NN] [,] [VB] [JJ] [,] [CC] [VBx] [,] [CC] [VB] [DT] [NNP]  ^ 2 ^ 786
[,] [CC] [NN] [VB] [NN] [CD] [:] [CC] [DT] [NN] [NN] [VB] [VBx] [DT]  ^ 2 ^ 2077
[CD] [CD] [CC] [CD] [NN] [,] [CC] [VBx] [NN] [CC] [NN] [CD] [:] [CC]  ^ 2 ^ 7840
[:] [CC] [NN] [VB] [IN] [NN] [VB] [JJ] [CD] [:] [CC] [NN] [VB] [,] [VB]  ^ 2 ^ 240
[IN] [NN] [NN] [:] [CC] [NN] [VB] [IN] [NN] [VB] [JJ] [CD] [:] [CC] [NN]  ^ 2 ^ 563
[CD] [NN] [,] [CC] [VBx] [NN] [CC] [NN] [:] [CD] [:] [CC] [JJ] [DT] [NN] [IN]  ^ 2 ^ 3647
[,] [CC] [NN] [NN] [,] [CC] [NN] [NN] [,] [CC] [NN] [NN] [POS] [NN] [IN] [NN]  ^ 2 ^ 4776
[:] [CC] [NN] [VB] [IN] [NN] [VB] [JJ] [CD] [:] [CC] [DT] [NN] [CC] [DT] [NN] [VB] [DT]  ^ 2 ^ 322
[JJ] [:]  ^ 2 ^ 80
[RB] [DT]  ^ 2 ^ 626
[IN] [PDT]  ^ 2 ^ 7257
[:] [TO]  ^ 2 ^ 875
[:] [EX]  ^ 2 ^ 1301
[VBx] [:]  ^ 2 ^ 1590
[RB] [CC]  ^ 2 ^ 2305
[''] [VB]  ^ 2 ^ 2790
[IN] [RB]  ^ 2 ^ 2454
[:] [PDT]  ^ 2 ^ 5216
[-RRB-] [CC]  ^ 2 ^ 7116
[NN] [RP]  ^ 2 ^ 7727
[RB] [:]  ^ 2 ^ 8581
[JJ] [TO]  ^ 2 ^ 9031
[TO] [NNP]  ^ 2 ^ 11284
[NN] [CC] [DT]  ^ 2 ^ 17
[RB] [NN] [,]  ^ 2 ^ 258
[:] [CC] [VB]  ^ 2 ^ 365
[VB] [RB] [RB]  ^ 2 ^ 509
[NN] [NN] [:]  ^ 2 ^ 768
[DT] [NN] [CC]  ^ 2 ^ 962
[,] [CC] [PDT]  ^ 2 ^ 4991
[VB] [CD] [:]  ^ 2 ^ 1006
[,] [CC] [EX]  ^ 2 ^ 1106
[EX] [VB] [RB]  ^ 2 ^ 1108
[DT] [NN] [TO]  ^ 2 ^ 1111
[CC] [EX] [NN]  ^ 2 ^ 1181
[NN] [TO] [DT]  ^ 2 ^ 1208
[JJ] [IN] [NN]  ^ 2 ^ 1214
[IN] [NNP] [TO]  ^ 2 ^ 1246
[TO] [NN] [NN]  ^ 2 ^ 1378
[:] [RB] [DT]  ^ 2 ^ 1696
[VB] [,] [DT]  ^ 2 ^ 2059
[TO] [VB] [IN]  ^ 2 ^ 2066
[CD] [:] [VBx]  ^ 2 ^ 2198
[:] [VBx] [DT]  ^ 2 ^ 2199
[VB] [,] [IN]  ^ 2 ^ 2245
[VB] [DT] [NN]  ^ 2 ^ 2393
[NN] [''] [VB]  ^ 2 ^ 2789
[NN] [''] [VBx]  ^ 2 ^ 9797
[''] [VB] [NN]  ^ 2 ^ 2790
[NN] [VB] [RB]  ^ 2 ^ 2834
[:] [VBx] [,]  ^ 2 ^ 2873
[VBx] [IN] [DT]  ^ 2 ^ 2979
[IN] [JJ] [IN]  ^ 2 ^ 3088
[NN] [TO] [NN]  ^ 2 ^ 3184
[:] [JJ] [VB]  ^ 2 ^ 3283
[VB] [CD] [NN]  ^ 2 ^ 3519
[NN] [VB] [NNP]  ^ 2 ^ 3633
[RB] [:] [IN]  ^ 2 ^ 3738
[IN] [,] [NN]  ^ 2 ^ 8710
[,] [DT] [JJ]  ^ 2 ^ 4034
[VBx] [NN] [VB]  ^ 2 ^ 4354
[DT] [NNP] [VB]  ^ 2 ^ 4440
[NN] [,] [RB]  ^ 2 ^ 4600
[IN] [JJ] [VBx]  ^ 2 ^ 4637
[CD] [NN] [,]  ^ 2 ^ 4702
[NN] [JJ] [NN]  ^ 2 ^ 4759
[VB] [IN] [,]  ^ 2 ^ 4774
[CD] [CC] [CD]  ^ 2 ^ 4837
[NN] [NN] [IN]  ^ 2 ^ 4972
[VB] [IN] [VBx]  ^ 2 ^ 5029
[CC] [NN] [IN]  ^ 2 ^ 5052
[CC] [JJ] [NN]  ^ 2 ^ 5178
[VB] [RB] [TO]  ^ 2 ^ 5492
[VB] [DT] [NNP]  ^ 2 ^ 5753
[RB] [IN] [IN]  ^ 2 ^ 5895
[NN] [,] [VB]  ^ 2 ^ 6217
[JJ] [JJR] [VB]  ^ 2 ^ 6349
[VB] [VB] [IN]  ^ 2 ^ 6486
[JJ] [NN] [VB]  ^ 2 ^ 6499
[VB] [TO] [VB]  ^ 2 ^ 6603
[CD] [:] [DT]  ^ 2 ^ 6845
[,] [RB] [IN]  ^ 2 ^ 7013
[VB] [VB] [VBx]  ^ 2 ^ 8253
[NN] [IN] [IN]  ^ 2 ^ 8259
[NN] [NN] [VBx]  ^ 2 ^ 8300
[,] [VBx] [DT]  ^ 2 ^ 8450
[VB] [VBx] [NNP]  ^ 2 ^ 8611
[NN] [NN] [DT]  ^ 2 ^ 8623
[NN] [NNP] [VB]  ^ 2 ^ 8712
[NNP] [VB] [VBx]  ^ 2 ^ 9093
[TO] [DT] [NN]  ^ 2 ^ 9156
[RP] [NN] [NN]  ^ 2 ^ 9181
[CD] [:] [RB]  ^ 2 ^ 9228
[,] [CD] [:]  ^ 2 ^ 9595
[,] [CC] [RB]  ^ 2 ^ 9637
[PDT] [DT] [NN]  ^ 2 ^ 9770
[,] [VB] [IN]  ^ 2 ^ 9873
[VB] [RB] [VB]  ^ 2 ^ 10310
[VB] [VB] [VB]  ^ 2 ^ 11567
[CC] [DT] [NNP] [VB]  ^ 2 ^ 23
[NN] [,] [CC] [DT]  ^ 2 ^ 97
[,] [CC] [DT] [NN]  ^ 2 ^ 306
[:] [CC] [VB] [NN]  ^ 2 ^ 385
[NN] [TO] [VB] [DT]  ^ 2 ^ 420
[CD] [:] [CC] [TO]  ^ 2 ^ 459
[JJ] [VBx] [NN] [NN]  ^ 2 ^ 6278
[CC] [JJ] [NN] [NN]  ^ 2 ^ 673
[,] [VB] [NN] [VB]  ^ 2 ^ 697
[JJ] [VB] [NN] [NN]  ^ 2 ^ 825
[VBx] [,] [NN] [VB]  ^ 2 ^ 839
[,] [NN] [VB] [VB]  ^ 2 ^ 840
[,] [CC] [JJ] [DT]  ^ 2 ^ 969
[,] [CC] [PDT] [DT]  ^ 2 ^ 4991
[TO] [NN] [DT] [NN]  ^ 2 ^ 1113
[DT] [NN] [CD] [:]  ^ 2 ^ 1115
[IN] [NN] [:] [CC]  ^ 2 ^ 1159
[:] [DT] [JJ] [VB]  ^ 2 ^ 1320
[:] [IN] [IN] [DT]  ^ 2 ^ 1428
[NN] [NN] [VB] [NN]  ^ 2 ^ 1460
[VB] [,] [JJ] [VB]  ^ 2 ^ 1622
[IN] [NN] [NN] [:]  ^ 2 ^ 2284
[TO] [NN] [:] [CC]  ^ 2 ^ 2312
[CC] [TO] [NN] [NN]  ^ 2 ^ 2626
[CC] [VBx] [IN] [DT]  ^ 2 ^ 2978
[IN] [DT] [JJ] [IN]  ^ 2 ^ 2986
[,] [CC] [DT] [JJ]  ^ 2 ^ 3188
[IN] [NN] [VB] [NN]  ^ 2 ^ 3304
[VB] [DT] [CD] [CC]  ^ 2 ^ 3340
[NNP] [,] [VB] [,]  ^ 2 ^ 3824
[,] [VB] [,] [JJ]  ^ 2 ^ 3825
[,] [IN] [IN] [DT]  ^ 2 ^ 3841
[,] [NN] [NN] [NN]  ^ 2 ^ 4107
[,] [CC] [DT] [VB]  ^ 2 ^ 4128
[TO] [NN] [JJ] [NN]  ^ 2 ^ 4418
[NN] [VB] [NN] [NN]  ^ 2 ^ 4450
[NN] [''] [NN] [IN]  ^ 2 ^ 4475
[NN] [POS] [NN] [IN]  ^ 2 ^ 4787
[DT] [NN] [,] [TO]  ^ 2 ^ 4499
[CD] [:] [IN] [DT]  ^ 2 ^ 4878
[IN] [DT] [CD] [JJ]  ^ 2 ^ 4880
[VB] [VB] [CD] [:]  ^ 2 ^ 5159
[NN] [VB] [RP] [DT]  ^ 2 ^ 5485
[VB] [RP] [DT] [NN]  ^ 2 ^ 5603
[VB] [IN] [NN] [,]  ^ 2 ^ 5802
[DT] [NN] [:] [CC]  ^ 2 ^ 5908
[JJ] [NN] [POS] [VBx]  ^ 2 ^ 6176
[DT] [NN] [TO] [NN]  ^ 2 ^ 6352
[NN] [NN] [,] [NN]  ^ 2 ^ 6451
[VB] [,] [VB] [VB]  ^ 2 ^ 6746
[IN] [JJ] [VB] [DT]  ^ 2 ^ 6905
[CC] [NNP] [,] [CC]  ^ 2 ^ 7212
[:] [IN] [DT] [NN]  ^ 2 ^ 7743
[DT] [CD] [NN] [JJ]  ^ 2 ^ 7784
[IN] [NNP] [POS] [VBx]  ^ 2 ^ 8120
[CC] [NN] [NN] [VBx]  ^ 2 ^ 8299
[VBx] [NN] [,] [CC]  ^ 2 ^ 8302
[NNP] [NN] [NN] [,]  ^ 2 ^ 8386
[VBx] [DT] [NN] [IN]  ^ 2 ^ 8445
[RB] [IN] [DT] [NN]  ^ 2 ^ 8460
[NNP] [,] [CC] [VB]  ^ 2 ^ 8471
[,] [VBx] [NN] [NN]  ^ 2 ^ 8475
[,] [CC] [JJ] [IN]  ^ 2 ^ 8893
[,] [IN] [NN] [CC]  ^ 2 ^ 9107
[NNP] [CC] [NNP] [,]  ^ 2 ^ 9205
[NNP] [NN] [IN] [NNP]  ^ 2 ^ 9469
[JJ] [NN] [IN] [NN]  ^ 2 ^ 9480
[CD] [:] [CC] [EX]  ^ 2 ^ 9647
[:] [CC] [NN] [NNP]  ^ 2 ^ 9856
[VBx] [NN] [NN] [NN]  ^ 2 ^ 11144
[NN] [JJ] [,] [NN]  ^ 2 ^ 11277
[VB] [IN] [NN] [IN]  ^ 2 ^ 11626
[CC] [NNP] [NN] [NN]  ^ 2 ^ 12039
[DT] [JJ] [NN] [,]  ^ 2 ^ 12160
[VB] [VB] [DT] [NN]  ^ 2 ^ 12418
[CD] [:] [CC] [DT] [NNP]  ^ 2 ^ 21
[IN] [DT] [JJ] [CC] [DT]  ^ 2 ^ 39
[CC] [VB] [NN] [VB] [IN]  ^ 2 ^ 366
[JJ] [DT] [NNP] [,] [CC]  ^ 2 ^ 737
[NN] [VB] [,] [VBx] [,]  ^ 2 ^ 836
[NN] [IN] [JJ] [CC] [NN]  ^ 2 ^ 1234
[:] [DT] [NN] [IN] [DT]  ^ 2 ^ 1266
[:] [NN] [VB] [NN] [NN]  ^ 2 ^ 1274
[VB] [DT] [NN] [NN] [IN]  ^ 2 ^ 1279
[NN] [DT] [NN] [NN] [VB]  ^ 2 ^ 1598
[NN] [NN] [:] [CC] [NN]  ^ 2 ^ 1668
[VB] [VBx] [NN] [,] [NN]  ^ 2 ^ 1990
[NN] [VB] [,] [NN] [NN]  ^ 2 ^ 2203
[VB] [,] [VBx] [,] [DT]  ^ 2 ^ 2411
[NN] [CD] [:] [CC] [NNP]  ^ 2 ^ 2710
[NN] [NN] [''] [VB] [NN]  ^ 2 ^ 2788
[DT] [JJ] [CC] [DT] [NN]  ^ 2 ^ 2844
[NN] [:] [DT] [NN] [IN]  ^ 2 ^ 3060
[CC] [NN] [VB] [NN] [NN]  ^ 2 ^ 3264
[CD] [NN] [CC] [CD] [NN]  ^ 2 ^ 3611
[CD] [JJ] [CC] [CD] [NN]  ^ 2 ^ 3626
[VB] [CD] [CD] [JJ] [CC]  ^ 2 ^ 3664
[CC] [NNP] [VB] [IN] [NN]  ^ 2 ^ 3692
[VB] [DT] [CD] [CD] [CC]  ^ 2 ^ 3748
[CC] [,] [VBx] [,] [NN]  ^ 2 ^ 4273
[DT] [NN] [IN] [NN] [,]  ^ 2 ^ 4425
[,] [CD] [IN] [JJ] [NN]  ^ 2 ^ 4490
[,] [TO] [VB] [NN] [VBx]  ^ 2 ^ 4501
[:] [CC] [NN] [VB] [VB]  ^ 2 ^ 4575
[CC] [NN] [VB] [VB] [IN]  ^ 2 ^ 4576
[IN] [NN] [,] [IN] [DT]  ^ 2 ^ 4790
[,] [IN] [NN] [VB] [VB]  ^ 2 ^ 4851
[:] [IN] [DT] [JJ] [NN]  ^ 2 ^ 4939
[,] [CC] [PDT] [DT] [NN]  ^ 2 ^ 4991
[DT] [NNP] [:] [CC] [NNP]  ^ 2 ^ 5277
[IN] [NN] [IN] [DT] [NN]  ^ 2 ^ 5290
[VBx] [NN] [IN] [DT] [NN]  ^ 2 ^ 5552
[CC] [VB] [,] [CC] [,]  ^ 2 ^ 5721
[CC] [,] [VBx] [,] [DT]  ^ 2 ^ 5724
[RB] [IN] [DT] [NN] [,]  ^ 2 ^ 5770
[VB] [IN] [NN] [NN] [,]  ^ 2 ^ 5944
[DT] [NNP] [,] [CC] [IN]  ^ 2 ^ 6064
[IN] [NN] [,] [VB] [,]  ^ 2 ^ 6248
[IN] [NN] [NN] [CD] [:]  ^ 2 ^ 6928
[,] [CC] [NNP] [,] [CC]  ^ 2 ^ 6958
[NN] [NN] [IN] [DT] [NN]  ^ 2 ^ 7003
[RB] [IN] [DT] [NN] [IN]  ^ 2 ^ 7609
[POS] [VBx] [NN] [,] [CC]  ^ 2 ^ 8182
[:] [CC] [NN] [VB] [RB]  ^ 2 ^ 8199
[CC] [NN] [VBx] [VB] [DT]  ^ 2 ^ 8311
[,] [CC] [VB] [NN] [NN]  ^ 2 ^ 8514
[:] [CC] [EX] [VB] [DT]  ^ 2 ^ 8563
[NNP] [NN] [IN] [NNP] [,]  ^ 2 ^ 9464
[,] [CC] [VB] [NN] [VBx]  ^ 2 ^ 9884
[IN] [DT] [RBS] [JJ] [NN]  ^ 2 ^ 10016
[DT] [RBS] [JJ] [NN] [,]  ^ 2 ^ 10035
[NN] [IN] [NN] [CC] [NNP]  ^ 2 ^ 10040
[VB] [,] [NN] [NN] [,]  ^ 2 ^ 10237
[CD] [:] [CC] [NN] [DT]  ^ 2 ^ 10510
[VB] [VB] [IN] [NN] [NN]  ^ 2 ^ 10920
[DT] [NN] [IN] [JJ] [NN]  ^ 2 ^ 11377
[,] [CC] [NN] [NN] [VB]  ^ 2 ^ 11420
[NN] [NN] [VB] [VB] [IN]  ^ 2 ^ 11617
[,] [NNP] [NN] [NN] [VB]  ^ 2 ^ 11836
[,] [CC] [JJ] [NN] [VB]  ^ 2 ^ 11968
[VB] [IN] [DT] [NN] [IN] [DT]  ^ 2 ^ 35
[DT] [NN] [CD] [:] [CC] [NN]  ^ 2 ^ 52
[NN] [CC] [NN] [VB] [NN] [NN]  ^ 2 ^ 771
[CC] [TO] [JJ] [NN] [IN] [DT]  ^ 2 ^ 885
[TO] [JJ] [NN] [IN] [DT] [NNP]  ^ 2 ^ 886
[JJ] [NN] [IN] [DT] [NN] [,]  ^ 2 ^ 895
[NN] [NN] [NN] [NN] [VB] [VB]  ^ 2 ^ 985
[JJ] [VB] [DT] [NN] [IN] [DT]  ^ 2 ^ 1038
[NN] [TO] [NN] [IN] [DT] [NNP]  ^ 2 ^ 1100
[IN] [JJ] [NN] [IN] [DT] [NN]  ^ 2 ^ 1397
[JJ] [NN] [IN] [DT] [NN] [:]  ^ 2 ^ 1539
[,] [CC] [VB] [VBx] [NN] [,]  ^ 2 ^ 1988
[:] [CC] [NN] [VB] [,] [NN]  ^ 2 ^ 1998
[JJ] [DT] [NN] [IN] [NN] [NN]  ^ 2 ^ 2158
[NN] [VB] [TO] [VB] [,] [IN]  ^ 2 ^ 8705
[:] [NN] [VB] [DT] [NN] [IN]  ^ 2 ^ 3083
[CC] [VB] [NN] [NN] [NNP] [:]  ^ 2 ^ 3225
[NN] [,] [CC] [VBx] [DT] [NN]  ^ 2 ^ 3345
[CD] [CC] [CD] [NN] [:] [CC]  ^ 2 ^ 3507
[IN] [NN] [,] [DT] [NN] [CC]  ^ 2 ^ 4646
[,] [DT] [NN] [CC] [NN] [NN]  ^ 2 ^ 4648
[,] [DT] [NN] [CC] [DT] [NN]  ^ 2 ^ 4680
[IN] [IN] [DT] [NN] [IN] [DT]  ^ 2 ^ 4732
[DT] [NNP] [CD] [:] [CC] [NNP]  ^ 2 ^ 4737
[VBx] [NNP] [IN] [DT] [NN] [,]  ^ 2 ^ 4840
[NN] [IN] [DT] [NN] [,] [DT]  ^ 2 ^ 4898
[CC] [DT] [NN] [IN] [NN] [VB]  ^ 2 ^ 4917
[IN] [DT] [NNP] [:] [CC] [DT]  ^ 2 ^ 5087
[IN] [IN] [DT] [NNP] [CD] [:]  ^ 2 ^ 5504
[DT] [NN] [IN] [DT] [NN] [NNP]  ^ 2 ^ 5563
[RB] [IN] [DT] [NNP] [,] [CC]  ^ 2 ^ 5833
[VB] [DT] [NN] [VBx] [DT] [NN]  ^ 2 ^ 5904
[:] [IN] [DT] [NN] [IN] [JJ]  ^ 2 ^ 6153
[VB] [NN] [NN] [IN] [NN] [,]  ^ 2 ^ 6261
[NNP] [,] [CC] [NNP] [:] [CC]  ^ 2 ^ 6569
[CC] [NN] [VB] [VBx] [IN] [DT]  ^ 2 ^ 6769
[IN] [DT] [NN] [IN] [NNP] [,]  ^ 2 ^ 6823
[,] [VB] [TO] [,] [VB] [NN]  ^ 2 ^ 7545
[IN] [JJ] [DT] [NNP] [:] [CC]  ^ 2 ^ 7720
[NNP] [IN] [DT] [NNP] [,] [TO]  ^ 2 ^ 8207
[:] [CD] [:] [CC] [NN] [NN]  ^ 2 ^ 8286
[IN] [DT] [NN] [CD] [:] [CC]  ^ 2 ^ 8461
[DT] [NN] [VBx] [DT] [NN] [,]  ^ 2 ^ 8489
[IN] [NN] [CC] [NN] [,] [CC]  ^ 2 ^ 9108
[,] [NN] [VBx] [NN] [,] [IN]  ^ 2 ^ 9136
[CD] [:] [CC] [NNP] [VB] [,]  ^ 2 ^ 10233
[CD] [:] [CC] [NN] [NN] [VB]  ^ 2 ^ 11323
[NN] [NN] [IN] [NN] [CC] [NN]  ^ 2 ^ 11329
[NN] [NN] [VB] [NN] [,] [CC]  ^ 2 ^ 11737
[NN] [CD] [:] [CC] [DT] [NN]  ^ 2 ^ 12098
[VB] [TO] [DT] [NN] [IN] [NN]  ^ 2 ^ 12404
[CD] [:] [CC] [NN] [VB] [NN] [,]  ^ 2 ^ 574
[NN] [IN] [DT] [NNP] [IN] [NN] [NN]  ^ 2 ^ 641
[DT] [NNP] [IN] [NN] [NN] [:] [CC]  ^ 2 ^ 643
[IN] [DT] [NNP] [IN] [NN] [NN] [,]  ^ 2 ^ 660
[DT] [NNP] [IN] [NN] [NN] [,] [CC]  ^ 2 ^ 661
[NN] [IN] [NN] [NN] [,] [CC] [JJ]  ^ 2 ^ 668
[JJ] [NN] [IN] [DT] [NNP] [,] [CC]  ^ 2 ^ 887
[,] [CC] [,] [VBx] [,] [NN] [VB]  ^ 2 ^ 940
[CD] [:] [CC] [IN] [IN] [DT] [NN]  ^ 2 ^ 1191
[IN] [DT] [NN] [IN] [DT] [NN] [,]  ^ 2 ^ 1223
[CD] [:] [CC] [DT] [NN] [IN] [DT]  ^ 2 ^ 1309
[:] [CC] [DT] [NN] [NN] [VB] [,]  ^ 2 ^ 1442
[VB] [,] [NN] [VB] [RB] [NN] [IN]  ^ 2 ^ 1726
[IN] [DT] [NN] [CD] [:] [CC] [DT]  ^ 2 ^ 1735
[NN] [NNP] [RB] [NN] [NN] [,] [CC]  ^ 2 ^ 2434
[IN] [DT] [NN] [IN] [DT] [NNP] [:]  ^ 2 ^ 2883
[CC] [NN] [VB] [VB] [TO] [VB] [,]  ^ 2 ^ 2912
[CC] [NN] [NN] [POS] [VBx] [NN] [VB]  ^ 2 ^ 3103
[,] [NNP] [,] [NNP] [,] [CC] [NNP]  ^ 2 ^ 4194
[:] [CC] [NN] [VB] [VBx] [NNP] [,]  ^ 2 ^ 4246
[DT] [NN] [,] [NN] [,] [CC] [NN]  ^ 2 ^ 4460
[,] [CC] [NN] [NN] [,] [CC] [NN]  ^ 2 ^ 4464
[CC] [IN] [NN] [NN] [VB] [RB] [VBx]  ^ 2 ^ 4655
[NNP] [,] [CC] [NNP] [,] [CC] [NNP]  ^ 2 ^ 4948
[CD] [:] [CC] [NN] [VB] [TO] [VB]  ^ 2 ^ 5455
[DT] [NN] [VB] [VB] [IN] [IN] [DT]  ^ 2 ^ 5522
[:] [CC] [NN] [VBx] [VBx] [NNP] [,]  ^ 2 ^ 5758
[DT] [NNP] [CD] [:] [CC] [NN] [VB]  ^ 2 ^ 6356
[NN] [VB] [VB] [TO] [VB] [,] [NN]  ^ 2 ^ 6420
[CC] [JJ] [VB] [NN] [IN] [JJ] [NN]  ^ 2 ^ 6460
[:] [RB] [JJ] [VB] [DT] [NN] [IN]  ^ 2 ^ 6817
[CD] [:] [JJ] [VB] [DT] [NN] [IN]  ^ 2 ^ 7224
[VBx] [NNP] [,] [NNP] [,] [CC] [NNP]  ^ 2 ^ 8057
[IN] [DT] [NN] [IN] [NNP] [,] [CC]  ^ 2 ^ 9258
[DT] [NN] [NN] [VB] [IN] [NN] [,]  ^ 2 ^ 9568
[CD] [:] [CC] [DT] [NN] [IN] [NNP]  ^ 2 ^ 9955
[DT] [NN] [IN] [DT] [NN] [VB] [VBx]  ^ 2 ^ 10204
[VB] [VBx] [NN] [,] [NN] [VB] [DT]  ^ 2 ^ 10393
[NN] [NN] [CD] [:] [CC] [NN] [VB]  ^ 2 ^ 10417
[VB] [NN] [NN] [JJ] [CC] [CD] [,]  ^ 2 ^ 11291
[NN] [IN] [DT] [NN] [IN] [DT] [NN] [TO]  ^ 2 ^ 351
[NN] [IN] [DT] [NN] [,] [CC] [TO] [JJ]  ^ 2 ^ 896
[JJ] [NN] [NN] [VB] [IN] [DT] [NNP] [,]  ^ 2 ^ 903
[,] [NN] [VBx] [RB] [NN] [IN] [NN] [:]  ^ 2 ^ 1421
[DT] [NN] [VB] [IN] [NN] [CD] [:] [CC]  ^ 2 ^ 1464
[,] [NN] [VB] [JJ] [IN] [NN] [VB] [VB]  ^ 2 ^ 2092
